x1,y1,x2,y2,x3,y3
2361873.116175182,73.72978808793331,-627338586815.6091,7995952832.341114,-627455991878.3801,-351610047966.06805
2505015.7014102256,78.19822138498935,-674419305447.6072,8366848295.535352,-674539923790.9458,-373056539313.43085
2652368.3282953803,82.79807811735964,-722884739788.2981,8745499209.009024,-723008557708.8036,-395136957816.8344
2803930.9968306464,87.52935828504415,-772734889837.682,9131905572.76213,-772861893631.9536,-417851303476.27875
2959703.707016024,92.39206188804292,-823969755595.7589,9526067386.79467,-824099931560.3958,-441199576291.76385
3119686.4588515125,97.38618892635591,-876589337062.5288,9927984651.106644,-876722671494.1301,-465181776263.2898
3283879.252337113,102.51173939998314,-930593634237.9917,10337657365.698051,-930730113433.1567,-489797903390.8565
3452282.087472825,107.76871330892462,-985982647122.1476,10755085530.568892,-986122257377.4755,-515047957674.464
3624894.964258648,113.15711065318033,-1042756375714.9965,11180269145.719166,-1042899103327.0864,-540931939114.11224
3801717.8826945825,118.67693143275028,-1100914820016.5383,11613208211.148874,-1101060651281.9895,-567449847709.8013
3982750.8427806282,124.32817564763447,-1160457980026.7732,12053902726.858015,-1160606901242.1848,-594601683461.531
4167993.8445167853,130.1108432978329,-1221385855745.701,12502352692.84659,-1221537853207.6724,-622387446369.3015
4357446.887903053,136.02493438334557,-1283698447173.3218,12958558109.1146,-1283853507178.4521,-650807136433.1129
4551109.972939433,142.07044890417248,-1347395754309.6355,13422518975.66204,-1347553863154.524,-679860753652.9651
4748983.099625924,148.2473868603136,-1412477777154.642,13894235292.488916,-1412638921135.888,-709548298028.858
4951066.2679625265,154.555748251769,-1478944515708.3418,14373707059.595226,-1479108681122.5442,-739869769560.7917
5157359.47794924,160.9955330785386,-1546795969970.7344,14860934276.980968,-1546963143114.4927,-770825168248.7662
5367862.729586066,167.56674134062249,-1616032139941.82,15355916944.646145,-1616202307111.7334,-802414494092.7815
5582576.022873002,174.26937303802057,-1686653025621.5986,15858655062.590755,-1686826173114.266,-834637747092.8375
5801499.35781005,181.1034281707329,-1758658627010.07,16369148630.814798,-1758834741122.091,-867494927248.9343
6024632.73439721,188.0689067387595,-1832048944107.2346,16887397649.318275,-1832228011135.2083,-900986034561.0719
6251976.152634481,195.1658087421003,-1906823976913.092,17413402118.101185,-1907005983153.6177,-935111069029.2502
6483529.612521864,202.39413418075534,-1982983725427.6426,17947162037.16353,-1983168657177.319,-969870030653.4695
6719293.114059357,209.75388305472464,-2060528189650.886,18488677406.505306,-2060716033206.3127,-1005262919433.7295
6959266.657246962,217.24505536400818,-2139457369582.8225,19037948226.12652,-2139648111240.5986,-1041289735370.0303
7203450.242084679,224.86765110860594,-2219771265223.4517,19594974496.027164,-2219964891280.177,-1077950478462.3718
7451843.868572507,232.62167028851795,-2301469876572.774,20159756216.207245,-2301666373325.047,-1115245148710.7542
7704447.536710447,240.5071129037442,-2384553203630.789,20732293386.666756,-2384752557375.2095,-1153173746115.1772
7961261.246498497,248.52397895428467,-2469021246397.497,21312586007.4057,-2469223443430.664,-1191736270675.641
8222284.9979366595,256.67226844013936,-2554874004872.898,21900634078.42408,-2555079031491.4106,-1230932722392.1458
8487518.791024933,264.9519813613083,-2642111479056.992,22496437599.721893,-2642319321557.4497,-1270763101264.6912
8756962.625763318,273.3631177177915,-2730733668949.7793,23099996571.29914,-2730944313628.781,-1311227407293.2773
9030616.502151813,281.90567750958894,-2820740574551.2593,23711310993.15582,-2820954007705.4043,-1352325640477.9043
